"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","3.4.1","host","USB","72","URB_INTERRUPT in"
"3","0.104994","3.4.1","host","USB","72","URB_INTERRUPT in"
"5","0.342311","3.4.1","host","USB","72","URB_INTERRUPT in"
"7","0.423192","3.4.1","host","USB","72","URB_INTERRUPT in"
"9","0.701194","3.4.1","host","USB","72","URB_INTERRUPT in"
"11","0.782033","3.4.1","host","USB","72","URB_INTERRUPT in"
"13","4.865284","3.4.1","host","USB","72","URB_INTERRUPT in"
"15","4.911472","3.4.1","host","USB","72","URB_INTERRUPT in"
"17","5.305088","3.4.1","host","USB","72","URB_INTERRUPT in"
"19","5.409073","3.4.1","host","USB","72","URB_INTERRUPT in"
"21","5.682389","3.4.1","host","USB","72","URB_INTERRUPT in"
"23","5.763385","3.4.1","host","USB","72","URB_INTERRUPT in"
"25","6.000292","3.4.1","host","USB","72","URB_INTERRUPT in"
"27","6.162319","3.4.1","host","USB","72","URB_INTERRUPT in"
"29","6.330296","3.4.1","host","USB","72","URB_INTERRUPT in"
"31","6.440300","3.4.1","host","USB","72","URB_INTERRUPT in"
"33","6.991327","3.4.1","host","USB","72","URB_INTERRUPT in"
"35","7.060466","3.4.1","host","USB","72","URB_INTERRUPT in"
"37","7.361550","3.4.1","host","USB","72","URB_INTERRUPT in"
"39","7.489150","3.4.1","host","USB","72","URB_INTERRUPT in"
"41","7.813120","3.4.1","host","USB","72","URB_INTERRUPT in"
"43","7.958332","3.4.1","host","USB","72","URB_INTERRUPT in"
"45","8.242364","3.4.1","host","USB","72","URB_INTERRUPT in"
"47","8.358456","3.4.1","host","USB","72","URB_INTERRUPT in"
"49","8.925169","3.4.1","host","USB","72","URB_INTERRUPT in"
"51","9.000375","3.4.1","host","USB","72","URB_INTERRUPT in"
"53","11.317397","3.4.1","host","USB","72","URB_INTERRUPT in"
"55","11.352447","3.4.1","host","USB","72","URB_INTERRUPT in"
"57","14.711499","3.4.1","host","USB","72","URB_INTERRUPT in"
"59","14.797459","3.4.1","host","USB","72","URB_INTERRUPT in"
"61","15.012485","3.4.1","host","USB","72","URB_INTERRUPT in"
"63","15.093264","3.4.1","host","USB","72","URB_INTERRUPT in"
"65","15.359285","3.4.1","host","USB","72","URB_INTERRUPT in"
"67","15.429654","3.4.1","host","USB","72","URB_INTERRUPT in"
"69","15.742458","3.4.1","host","USB","72","URB_INTERRUPT in"
"71","15.805499","3.4.1","host","USB","72","URB_INTERRUPT in"
"73","16.188606","3.4.1","host","USB","72","URB_INTERRUPT in"
"75","16.251293","3.4.1","host","USB","72","URB_INTERRUPT in"
"77","18.348533","3.4.1","host","USB","72","URB_INTERRUPT in"
"79","18.429688","3.4.1","host","USB","72","URB_INTERRUPT in"
"81","18.660346","3.4.1","host","USB","72","URB_INTERRUPT in"
"83","18.742542","3.4.1","host","USB","72","URB_INTERRUPT in"
"85","19.048563","3.4.1","host","USB","72","URB_INTERRUPT in"
"87","19.124538","3.4.1","host","USB","72","URB_INTERRUPT in"
"89","19.408856","3.4.1","host","USB","72","URB_INTERRUPT in"
"91","19.483355","3.4.1","host","USB","72","URB_INTERRUPT in"
"93","19.784372","3.4.1","host","USB","72","URB_INTERRUPT in"
"95","19.854540","3.4.1","host","USB","72","URB_INTERRUPT in"
"97","23.114615","3.4.1","host","USB","72","URB_INTERRUPT in"
"99","23.224617","3.4.1","host","USB","72","URB_INTERRUPT in"
"101","24.753742","3.4.1","host","USB","72","URB_INTERRUPT in"
"103","24.823634","3.4.1","host","USB","72","URB_INTERRUPT in"
"105","25.066485","3.4.1","host","USB","72","URB_INTERRUPT in"
"107","25.130830","3.4.1","host","USB","72","URB_INTERRUPT in"
"109","27.464693","3.4.1","host","USB","72","URB_INTERRUPT in"
"111","27.533524","3.4.1","host","USB","72","URB_INTERRUPT in"
"113","27.852531","3.4.1","host","USB","72","URB_INTERRUPT in"
"115","27.915523","3.4.1","host","USB","72","URB_INTERRUPT in"
"117","28.257874","3.4.1","host","USB","72","URB_INTERRUPT in"
"119","28.309550","3.4.1","host","USB","72","URB_INTERRUPT in"
"121","31.761789","3.4.1","host","USB","72","URB_INTERRUPT in"
"123","32.352604","3.4.1","host","USB","72","URB_INTERRUPT in"
"125","32.427586","3.4.1","host","USB","72","URB_INTERRUPT in"
"127","32.723014","3.4.1","host","USB","72","URB_INTERRUPT in"
"129","35.925851","3.4.1","host","USB","72","URB_INTERRUPT in"
